Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""",Grand Total
Catholic,2,20,Parade College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,343,366,0,366,311,0,311,300,0,300,280.3,0,280.3,291,0,291,0,0,0,1891.3,1891.3
Catholic,2,25,Simonds Catholic College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,77,0,77,77,0,77,81,0,81,68,0,68,79,0,79,0,0,0,464,464
Catholic,2,26,Christian Brothers' College St Kilda,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,109,0,109,94,0,94,99,0,99,88,0,88,59,0,59,0,0,0,543,543
Catholic,2,28,St Patrick's College Ballarat,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,245,230,0,230,230.4,0,230.4,235,0,235,248,0,248,200,0,200,0,0,0,1388.4,1388.4
Catholic,2,29,St Patrick's School,Primary,O,17,14,31,11,22,33,15,19,34,16,23,39,18,12,30,23,17,40,23,16,39,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
Catholic,2,30,St Alipius' Parish School,Primary,O,24,16,40,19,23,42,18,27,45,14,16,30,24,22,46,22,17,39,13,17,30,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
Catholic,2,33,Emmanuel College Inc.,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,106,207,99,113,212,105,102,207,79.1,112,191.1,78.3,100.1,178.4,85.7,99.8,185.5,0,0,0,1181,1181
Catholic,2,35,Loreto College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,156,0,156,156,0,157,157,0,157,157,0,141,141,0,154,154,0,0,0,921,921
Catholic,2,60,St Mary's School,Primary,O,22,12,34,9,18,27,23,15,38,12,23,35,22,15,37,18,17,35,21,18,39,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
Catholic,2,77,Sacred Heart School,Primary,O,22,22,44,19,22,41,17,25,42,20,22,42,23,19,42,21,5,26,13,17,30,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
Catholic,2,78,St Mary's School,Primary,O,28,21,49,28,21,49,30,21,51,24,26,50,25,21,46,20,22,42,26,32,58,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
