"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status",""Prep Males Total"",""Prep Females Total"",""Prep Total"",""Year 1 Males Total"",""Year 1 Females Total"",""Year 1 Total"",""Year 2 Males total"",""Year 2 Females Total"",""Year 2 Total"",""Year 3 Males Total"",""Year 3 Females Total"",""Year 3 Total"",""Year 4 Males Total"",""Year 4 Females Total"",""Year 4 Total"",""Year 5 Males Total"",""Year 5 Females Total"",""Year 5 Total"",""Year 6 Males Total"",""Year 6 Females Total"",""Year 6 Total"",""Primary Ungraded Males Total"",""Primary Ungraded Females Total"",""Primary Ungraded Total"",""Primary Total"",""Year 7 Males Total"",""Year 7 Females Total"",""Year 7 Total"",""Year 8 Males Total"",""Year 8 Females Total"",""Year 8 Total"",""Year 9 Males Total"",""Year 9 Females Total"",""Year 9 Total"",""Year 10 Males Total"",""Year 10 Females Total"",""Year 10 Total"",""Year 11 Males Total"",""Year 11 Females Total"",""Year 11 Total"",""Year 12 Males"",""Year 12 Females"",""Year 12 Total"",""Secondary Ungraded Males Total"",""Secondary Ungraded Females Total"",""Secondary Ungraded Total"",""Secondary Total"",""Grand Total"","YEAR","CENSUS_TYPE"
"Catholic",2,20,"Parade College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","364","0","364","339","0","339","350","0","350","310","0","310","280.2","0","280.2","270","0","270","0","0","0","1913.2","1913.2",2018,"F"
"Catholic",2,25,"Simonds Catholic College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","0","85","84","0","84","69","0","69","71","0","71","71","0","71","65","0","65","0","0","0","445","445",2018,"F"
"Catholic",2,26,"Christian Brothers' College St Kilda","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98","0","98","96","0","96","113","0","113","91","0","91","92","0","92","80.5","0","80.5","0","0","0","570.5","570.5",2018,"F"
"Catholic",2,28,"St Patrick's College Ballarat","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","224","0","224","248","0","248","232","0","232","229","0","229","208","0","208","218","0","218","0","0","0","1359","1359",2018,"F"
"Catholic",2,29,"St Patrick's School","Primary","O","17","17","34","18","13","31","11","24","35","16","20","36","17","22","39","17","13","30","24","16","40","0","0","0","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","245",2018,"F"
"Catholic",2,30,"St Alipius' Parish School","Primary","O","22","15","37","17","23","40","17","24","41","20","24","44","14","16","30","23","21","44","23","17","40","0","0","0","276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","276",2018,"F"
"Catholic",2,33,"Emmanuel College Inc.","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","127","212","102","106","208","99","115","214","94.2","98","192.2","79.3","109.2","188.5","66.7","91","157.7","0","0","0","1172.4","1172.4",2018,"F"
"Catholic",2,35,"Loreto College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","157","157","0","156","156","0","155","155","0","158","158","0","160","160","0","141","141","0","0","0","927","927",2018,"F"
"Catholic",2,60,"St Mary's School","Primary","O","11","10","21","19","11","30","11","18","29","21","17","38","13","21","34","21","16","37","17","18","35","0","0","0","224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","224",2018,"F"
"Catholic",2,77,"Sacred Heart School","Primary","O","19","29","48","21","23","44","18","20","38","17","26","43","25","23","48","22","18","40","21","6","27","0","0","0","288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","288",2018,"F"
"Catholic",2,78,"St Mary's School","Primary","O","28","17","45","25","21","46","28","21","49","31","20","51","25","27","52","24","21","45","19","22","41","0","0","0","329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","329",2018,"F"
"Catholic",2,98,"St Michael's School","Primary","O","27","19","46","12","8","20","11","10","21","7","6","13","9","12","21","9","5","14","12","9","21","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156",2018,"F"
"Catholic",2,104,"St Patrick's School","Primary","O","31","22","53","22","16","38","27","27","54","18","26","44","16","19","35","20","20","40","25","29","54","0","0","0","318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","318",2018,"F"
"Catholic",2,106,"Presentation College Windsor","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72","72","0","70","70","0","65","65","0","96","96","0","85","85","0","87","87","0","0","0","475","475",2018,"F"
"Catholic",2,107,"St Mary's School","Primary","O","12","23","35","17","27","44","23","22","45","19","26","45","24","23","47","15","26","41","18","19","37","0","0","0","294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","294",2018,"F"
"Catholic",2,111,"Assumption College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106","102","208","105","98","203","111","90","201","117","89","206","121","108","229","91","88","179","0","0","0","1226","1226",2018,"F"
"Catholic",2,113,"St Brendan's School","Primary","O","13","8","21","10","7","17","12","9","21","10","13","23","16","14","30","11","9","20","12","12","24","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156",2018,"F"
"Catholic",2,130,"Catherine McAuley College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116","127","243","106","120","226","118","109","227","134.4","140","274.4","112","124","236","125.3","118","243.3","0","0","0","1449.7","1449.7",2018,"F"
"Catholic",2,132,"St Augustine's School","Primary","O","23","18","41","20","18","38","18","21","39","17","10","27","14","24","38","12","19","31","25","21","46","0","0","0","260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260",2018,"F"
"Catholic",2,139,"St Mary's School","Primary","O","27","28","55","32","37","69","29","20","49","24","32","56","28","22","50","28","21","49","32","23","55","0","0","0","383","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","383",2018,"F"
"Catholic",2,140,"St Aloysius' School","Primary","O","14","21","35","20","17","37","27","10","37","25","10","35","15","25","40","13","17","30","12","25","37","0","0","0","251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","251",2018,"F"
