"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status",""Prep Males Total"",""Prep Females Total"",""Prep Total"",""Year 1 Males Total"",""Year 1 Females Total"",""Year 1 Total"",""Year 2 Males total"",""Year 2 Females Total"",""Year 2 Total"",""Year 3 Males Total"",""Year 3 Females Total"",""Year 3 Total"",""Year 4 Males Total"",""Year 4 Females Total"",""Year 4 Total"",""Year 5 Males Total"",""Year 5 Females Total"",""Year 5 Total"",""Year 6 Males Total"",""Year 6 Females Total"",""Year 6 Total"",""Primary Ungraded Males Total"",""Primary Ungraded Females Total"",""Primary Ungraded Total"",""Primary Total"",""Year 7 Males Total"",""Year 7 Females Total"",""Year 7 Total"",""Year 8 Males Total"",""Year 8 Females Total"",""Year 8 Total"",""Year 9 Males Total"",""Year 9 Females Total"",""Year 9 Total"",""Year 10 Males Total"",""Year 10 Females Total"",""Year 10 Total"",""Year 11 Males Total"",""Year 11 Females Total"",""Year 11 Total"",""Year 12 Males"",""Year 12 Females"",""Year 12 Total"",""Secondary Ungraded Males Total"",""Secondary Ungraded Females Total"",""Secondary Ungraded Total"",""Secondary Total"",""Grand Total"","Year","CENSUS_TYPE"
"Catholic",2,20,"Parade College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","338","0","338","357","0","357","328","0","328","347","0","347","298","0","298","258","0","258","0","0","0","1926","1926",2019,"F"
"Catholic",2,25,"Simonds Catholic College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86","0","86","74","0","74","75","0","75","70","0","70","65","0","65","65","0","65","0","0","0","435","435",2019,"F"
"Catholic",2,26,"Christian Brothers' College St Kilda","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","0","73","99","0","99","94","0","94","113","0","113","81","0","81","86","0","86","0","0","0","546","546",2019,"F"
"Catholic",2,28,"St Patrick's College Ballarat","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230","0","230","232","0","232","246","0","246","245","0","245","215","0","215","179","0","179","0","0","0","1347","1347",2019,"F"
"Catholic",2,29,"St Patrick's School","Primary","O","14","18","32","14","16","30","19","14","33","12","23","35","15","21","36","17","25","42","17","14","31","0","0","0","239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","239",2019,"F"
"Catholic",2,30,"St Alipius' Parish School","Primary","O","11","17","28","21","13","34","18","22","40","19","25","44","22","21","43","15","15","30","23","21","44","0","0","0","263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","263",2019,"F"
"Catholic",2,33,"Emmanuel College Inc.","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112","110","222","86","125","211","99","101","200","100","110","210","91.2","94","185.2","70.2","105.1","175.3","0","0","0","1203.5","1203.5",2019,"F"
"Catholic",2,35,"Loreto College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","162","162","0","158","158","0","155","155","0","159","159","0","155","155","0","149","149","0","0","0","938","938",2019,"F"
"Catholic",2,60,"St Mary's School","Primary","O","10","12","22","10","12","22","18","9","27","13","17","30","19","13","32","14","20","34","19","16","35","0","0","0","202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","202",2019,"F"
"Catholic",2,77,"Sacred Heart School","Primary","O","22","21","43","18","29","47","24","24","48","19","19","38","16","27","43","25","24","49","24","18","42","0","0","0","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","310",2019,"F"
"Catholic",2,78,"St Mary's School","Primary","O","25","22","47","28","16","44","27","21","48","27","24","51","33","21","54","23","28","51","24","21","45","0","0","0","340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","340",2019,"F"
"Catholic",2,98,"St Michael's School","Primary","O","23","17","40","26","24","50","13","10","23","13","9","22","7","8","15","8","12","20","7","5","12","0","0","0","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","182",2019,"F"
"Catholic",2,104,"St Patrick's School","Primary","O","13","19","32","28","22","50","22","15","37","25","24","49","20","27","47","15","18","33","18","18","36","0","0","0","284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","284",2019,"F"
"Catholic",2,106,"Presentation College Windsor","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","59","0","82","82","0","62","62","0","59","59","0","81","81","0","78","78","0","0","0","421","421",2019,"F"
"Catholic",2,107,"St Mary's School","Primary","O","20","17","37","13","21","34","17","22","39","23","18","41","19","24","43","21","23","44","15","24","39","0","0","0","277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","277",2019,"F"
"Catholic",2,111,"Assumption College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","129","106","235","105","99","204","104","97","201","119","95","214","116","92","208","107","102","209","0","0","0","1271","1271",2019,"F"
"Catholic",2,113,"St Brendan's School","Primary","O","7","15","22","11","11","22","9","7","16","13","8","21","11","11","22","13","11","24","9","9","18","0","0","0","145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145",2019,"F"
"Catholic",2,130,"Catherine McAuley College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","126","260","116","132","248","109","122","231","121","110","231","110.4","118","228.4","99","119","218","0","0","0","1416.4","1416.4",2019,"F"
"Catholic",2,132,"St Augustine's School","Primary","O","13","12","25","23","17","40","21","17","38","20","20","40","14","10","24","15","24","39","14","18","32","0","0","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","238",2019,"F"
"Catholic",2,139,"St Mary's School","Primary","O","35","27","62","26","28","54","32","37","69","27","22","49","24","28","52","29","23","52","29","19","48","0","0","0","386","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","386",2019,"F"
"Catholic",2,140,"St Aloysius' School","Primary","O","20","10","30","15","20","35","20","15","35","27","13","40","24","8","32","15","24","39","13","17","30","0","0","0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","241",2019,"F"
"Catholic",2,148,"St Joseph's School","Primary","O","38","31","69","36","33","69","42","36","78","41","25","66","40","29","69","17","17","34","14","21","35","0","0","0","420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","420",2019,"F"
