"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total","Year","CENSUS_TYPE"
"Catholic",2,20,"Parade College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","342","0","342","327","0","327","322","0","322","355","0","355","307","0","307","315","0","315","0","0","0","1968","1968",2021,"F"
"Catholic",2,25,"Simonds Catholic College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72","0","72","63","0","63","79","0","79","64","0","64","70","0","70","64","0","64","0","0","0","412","412",2021,"F"
"Catholic",2,26,"St Mary’s College Melbourne","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","6","50","56","6","62","79","27","106","91","18","109","79","29","108","91","13","104","0","0","0","539","539",2021,"F"
"Catholic",2,28,"St Patrick's College Ballarat","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","0","240","231","0","231","225","0","225","219","0","219","208","0","208","174","0","174","0","0","0","1297","1297",2021,"F"
"Catholic",2,29,"St Patrick's School","Primary","O","15","20","35","28","13","41","14","18","32","16","18","34","17","15","32","15","17","32","15","23","38","0","0","0","244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","244",2021,"F"
"Catholic",2,30,"St Alipius' Parish School","Primary","O","17","18","35","17","20","37","10","19","29","19","13","32","18","23","41","18","28","46","21","25","46","0","0","0","266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266",2021,"F"
"Catholic",2,33,"Emmanuel College Inc.","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","135","244","105","120","225","110","107","217","83","121","204","90.1","99.2","189.3","73.1","99.5","172.6","0","0","0","1251.9","1251.9",2021,"F"
"Catholic",2,35,"Loreto College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","157","157","0","156","156","0","158","158","0","151","151","0","159","159","0","150.4","150.4","0","0","0","931.4","931.4",2021,"F"
"Catholic",2,60,"St Mary's School","Primary","O","6","11","17","11","10","21","10.7","12","22.7","13.2","14","27.2","17","10","27","15","17","32","19","13","32","0","0","0","178.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","178.9",2021,"F"
"Catholic",2,77,"Sacred Heart School","Primary","O","27","22","49","20","25","45","22","26","48","21","29","50","21","23","44","19","19","38","16","25","41","0","0","0","315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","315",2021,"F"
"Catholic",2,78,"St Mary's School","Primary","O","17","20","37","22","19","41","21","23","44","30","18","48","27","23","50","28","20","48","30","20","50","0","0","0","318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","318",2021,"F"
"Catholic",2,98,"St Michael’s Primary School","Primary","O","30","20","50","18","13","31","16","18","34","16","17","33","16","6","22","14","6","20","11","6","17","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","207",2021,"F"
